,Unnamed: 0,자치구명,법정동코드,법정동명,지번주소,건물명,층,임대건물명,임대면적,전월세구분,보증금,임대료,건축년도,연식,latitude,longitude,conv_num,in_din_total_300,in_mart_total_1000,in_subway_total_500,in_hosp_total_1000,in_cafe_total_300,police_500,center_500,in_din_total_50,in_subway_total_50,all_score_life,nois_total
0,0,영등포구,11300,당산동3가,서울특별시 영등포구 당산동3가 398-1,당산파크뷰,3,오피스텔,16.83,준월세,3000,85,2022.0,0,37.5257856076804,126.894982230987,18,325,7,2,128,69,0,2,8,0,73.74,66
1,1,영등포구,11300,당산동3가,서울특별시 영등포구 당산동3가 398-1,당산파크뷰,6,오피스텔,17.42,준전세,15000,45,2022.0,0,37.5257856076804,126.894982230987,18,325,7,2,128,69,0,2,8,0,73.74,66
2,2,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,12,오피스텔,18.1,준월세,1000,80,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
3,3,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,14,오피스텔,18.1,준월세,1000,80,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
4,4,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,11,오피스텔,18.1,준월세,1000,80,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
5,5,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,8,오피스텔,18.1,준월세,1000,80,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
6,6,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,14,오피스텔,18.1,준월세,1000,80,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
7,7,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,5,오피스텔,18.1,준월세,5000,65,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
8,8,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,4,오피스텔,18.1,준월세,3000,65,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
9,9,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,6,오피스텔,18.1,준월세,5000,60,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
10,10,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 175,여의도 해링턴타워 196,12,오피스텔,18.1,준월세,5000,58,2022.0,0,37.5192625840429,126.909761614121,24,330,4,2,133,21,2,1,2,0,75.57,42
