,places_name,road_address_name,lat,lng,distance,category_group_name
0,GS25 양평본점,서울 영등포구 양평로30가길 19,126.890408539472,37.542345625392,212,편의점
1,세븐일레븐 양평유성점,서울 영등포구 양평로30나길 14,126.889551547755,37.5433971939308,100,편의점
2,세븐일레븐 양평까뮤스퀘어점,서울 영등포구 양평로30길 14,126.889364685448,37.5412057889037,260,편의점
3,CU 양평한신점,서울 영등포구 양평로24길 9,126.891086345469,37.5407785136294,96,편의점
4,세븐일레븐 양평우림점,서울 영등포구 양평로 149,126.89132789765492,37.53884699299216,208,편의점
5,GS25 양평한신점,서울 영등포구 양평로24길 8,126.893241910754,37.5391658907554,225,편의점
6,GS25 S9선유도역점,서울 영등포구 양평로 지하 124,126.893419894715,37.5381317037445,294,편의점
7,이마트24 선유도역점,서울 영등포구 양평로22라길 1,126.8946777063307,37.539209527030735,252,편의점
8,GS25 양평한아름점,서울 영등포구 선유로51길 36,126.894519541315,37.5382336030697,195,편의점
9,GS25 선유도타워점,서울 영등포구 선유로49길 23,126.895191884436,37.5364394096545,298,편의점
10,세븐일레븐 양평롯데점,서울 영등포구 양평로19길 12,126.894418179748,37.5362945604267,254,편의점
11,세븐일레븐 롯데타워점,서울 영등포구 양평로21길 10,126.892859794306,37.5373563369607,74,편의점
12,세븐일레븐 양평점,서울 영등포구 양평로20길 5,126.895506828172,37.537773168839,279,편의점
13,GS25 양평중앙점,서울 영등포구 양평로18길 8,126.897123242854,37.537277236054,51,편의점
14,CU 선유도역점,서울 영등포구 양평로22길 21,126.895056030651,37.5397261366714,287,편의점
15,CU 양평드림점,서울 영등포구 선유로47길 15,126.895356338333,37.5353475431961,255,편의점
16,CU 양평타워점,서울 영등포구 선유로49길 22,126.89536360716,37.5366233659645,140,편의점
17,CU 선유도한강점,서울 영등포구 양평로20길 20,126.896569155385,37.538678707957,137,편의점
18,씨스페이스 약산상가점,서울 영등포구 선유로 269,126.897911508382,37.536712092066,143,편의점
19,CU SK기린주유소점,서울 영등포구 선유로 270,126.8988183148827,37.53633084842411,233,편의점
20,이마트24 영등포선유로,서울 영등포구 선유로 250,126.897294123874,37.5347798121318,270,편의점
21,GS25 당산양화점,서울 영등포구 선유로52길 11,126.899614294127,37.5359026516177,288,편의점
22,GS25 당산역점,서울 영등포구 양평로 64,126.900068037326,37.5350272641157,140,편의점
23,GS25 당산정고을점,서울 영등포구 당산로49길 20,126.90119309944,37.536419355272,46,편의점
24,CU 당산역V타워점,서울 영등포구 당산로 246,126.903303679904,37.5352065538824,246,편의점
25,GS25 당산NC점,서울 영등포구 양평로 49,126.900974300544,37.5341774830644,220,편의점
26,CU 당산중앙점,서울 영등포구 당산로49길 6,126.902465927124,37.5355878891123,161,편의점
27,세븐일레븐 당산역본점,서울 영등포구 당산로 237,126.902267787522,37.5348272809643,197,편의점
28,GS25 당산한강점,서울 영등포구 당산로48길 11,126.903403821813,37.5347597396172,278,편의점
29,미니스톱 당산포스빌점,서울 영등포구 양평로 67,126.89943346983064,37.53490689238242,182,편의점
30,GS25 S9당산역점,서울 영등포구 양평로 지하 40,126.90216963959656,37.53374239504778,294,편의점
31,GS25 당산쉐르빌점,서울 영등포구 당산로45길 1,126.900604288474,37.533355459666,265,편의점
32,세븐일레븐 당산역점,서울 영등포구 양평로 24,126.9036625964556,37.53324987400421,299,편의점
33,GS25 당산효성점,서울 영등포구 당산로 205,126.90039146921096,37.53259213273793,280,편의점
34,CU 양평SK엔카점,서울 영등포구 선유로43길 27,126.89208573439312,37.534313855374826,163,편의점
35,CU 양평이레빌딩점,서울 영등포구 선유동2로 57,126.89704220203294,37.533676768141774,282,편의점
36,GS25 양평성원점,서울 영등포구 양평로17길 36,126.894118550644,37.5337498671185,62,편의점
37,GS25 당산양평점,서울 영등포구 양평로 16,126.90449922465277,37.53283789517969,185,편의점
38,CU 당산역점,서울 영등포구 당산로 214,126.90418288491443,37.53248624863028,233,편의점
39,세븐일레븐 당산데시앙점,서울 영등포구 당산로 203,126.9000220266227,37.532201687202885,229,편의점
40,GS25 영등포당산점,서울 영등포구 선유동2로 40,126.896804137321,37.5323755153505,294,편의점
41,GS25 당산SK점,서울 영등포구 당산로41길 11,126.89816613003244,37.53085400607759,273,편의점
42,CU 당산대박점,서울 영등포구 버드나루로23길 9,126.906989576383,37.52997650156,130,편의점
43,GS25 당산강변점,서울 영등포구 버드나루로 130,126.907586198459,37.5305680267077,71,편의점
44,CU 당산삼환점,서울 영등포구 영중로 145,126.90551419923187,37.5291581222364,266,편의점
45,이마트24 영등포아리스타점,서울 영등포구 버드나루로 129,126.907198172908,37.5296306811734,167,편의점
46,CU 당산강변점,서울 영등포구 버드나루로20길 6,126.908520689463,37.5287235036098,291,편의점
47,GS25 당산진미점,서울 영등포구 버드나루로19길 5,126.907421430376,37.5284054945161,276,편의점
48,GS25 여의에클라트점,서울 영등포구 국회대로 780,126.918923192549,37.5298339288051,141,편의점
49,GS25 여의파라곤점,서울 영등포구 국회대로 800,126.92093828855792,37.53074620727823,64,편의점
50,CU 여의도KCC점,서울 영등포구 국회대로72길 17,126.921294901473,37.5294463005963,146,편의점
51,GS25 여의성우점,서울 영등포구 국회대로66길 17,126.919445080337,37.5284683677557,236,편의점
52,이마트24 Self 오피스디포 여의도점,서울 영등포구 은행로 25,126.921381669111,37.5286976261761,221,편의점
53,세븐일레븐 여의3호점,서울 영등포구 국회대로74길 20,126.92148010115048,37.52977078436847,132,편의점
54,CU 여의산정점,서울 영등포구 국회대로66길 23,126.919884446771,37.5280830379489,269,편의점
55,이마트24 현대카드1관점,서울 영등포구 의사당대로 3,126.918136548196,37.529127001067,243,편의점
56,세븐일레븐 여의아이비피아점,서울 영등포구 국회대로72길 4,126.919963525817,37.5303067631008,35,편의점
57,세븐일레븐 여의대산점,서울 영등포구 국회대로70길 12,126.919955576471,37.5292760121793,138,편의점
58,세븐일레븐 여의금강점,서울 영등포구 국회대로70길 22,126.920680464081,37.5284908279631,224,편의점
59,CU 당산센트럴아이파크점,서울 영등포구 영신로 247,126.90264813623244,37.52945762992396,71,편의점
60,CU 당산한강점,서울 영등포구 영신로57길 1,126.903462421051,37.527919387942,230,편의점
61,GS25 당산골드점,서울 영등포구 국회대로37길 25,126.900623579505,37.5290486911151,244,편의점
62,GS25 당산스타점,서울 영등포구 영신로 219,126.902788975204,37.5272881344462,299,편의점
63,CU 여의국회정문점,서울 영등포구 국회대로 750,126.916503845054,37.5282789166509,298,편의점
64,GS25 S9국회의사당역점,서울 영등포구 국회대로 지하 758,126.917884290769,37.5280672481641,235,편의점
65,이마트24 당산점,서울 영등포구 당산로37길 7,126.897450517971,37.5296334313321,119,편의점
66,GS25 당산현대점,서울 영등포구 국회대로29길 3,126.896402048537,37.5286089788022,143,편의점
67,GS25 양평현대점,서울 영등포구 선유로 201,126.89379044164554,37.53135741551327,263,편의점
68,GS25 영등포병원점,서울 영등포구 당산로33길 9,126.895661806155,37.5272388049173,296,편의점
69,CU 당산삼성2차점,서울 영등포구 당산로36길 12,126.897805615745,37.5280804128292,248,편의점
70,CU 당산현대해상점,서울 영등포구 당산로 141,126.8966832333028,37.52734241706002,286,편의점
71,세븐일레븐 여의점,서울 영등포구 여의서로 43,126.92490027525128,37.5307821302228,119,편의점
